goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,total_cross,corner_taken,touches,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
38,64,3,412,132,10,16,4,0,35,3,1,65,16,51,155,585,696,2,1084,597,0,7,5,14445,56,2732,712,171,21820,4,507,1,76,13
68,48,3,522,179,11,11,10,0,65,3,6,50,15,36,166,819,869,0,1040,552,0,4,4,13370,54,2695,762,197,21710,7,366,0,49,22
33,58,2,414,143,9,6,5,1,28,5,2,71,12,48,139,695,845,7,1409,852,2,6,6,11792,19,1904,706,172,20309,4,361,0,81,8
45,71,4,533,174,12,6,4,3,34,11,2,84,6,68,115,478,732,9,1584,741,1,4,4,14599,84,2285,941,203,23005,5,506,0,74,38
41,62,3,417,139,7,2,4,1,33,8,3,68,11,54,178,582,784,9,1155,607,4,4,4,13109,52,1952,868,179,20782,8,423,0,52,39
34,69,1,473,144,10,8,1,1,27,7,4,96,9,54,173,609,888,6,1596,978,2,5,3,14144,122,2126,985,172,24442,4,491,1,58,27
62,72,2,502,191,12,13,3,2,59,3,2,82,13,44,149,461,712,6,1118,628,1,6,3,17586,38,2968,767,196,25309,9,469,2,56,19
55,52,3,452,160,19,5,7,0,51,5,2,53,10,67,150,460,604,1,1092,616,5,5,2,17152,51,2461,628,193,24801,4,439,2,36,21
68,53,4,523,213,15,12,3,0,63,5,4,74,17,41,101,541,714,14,1207,703,2,6,5,21561,144,1799,753,210,29825,3,367,1,70,27
34,65,3,388,107,10,12,1,1,31,3,0,68,11,48,172,721,642,4,992,547,3,6,5,12262,29,2661,847,188,19822,5,480,0,54,14
