goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,total_cross,corner_taken,touches,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches,predicted categories
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
61.0,55.0,1.0,561.0,196.0,14.0,6.0,3.0,5.0,49.0,12.0,3.0,80.0,15.0,39.0,130.0,463.0,744.0,9.0,1103.0,672.0,4.0,6.0,3.0,18301.0,49.0,2239.0,848.0,251.0,26857.0,2.0,471.0,2.0,59.0,14.0,14
46.0,62.0,2.0,459.0,139.0,14.0,10.0,3.0,1.0,41.0,5.0,1.0,93.0,5.0,66.0,151.0,520.0,677.0,11.0,1205.0,663.0,2.0,4.0,4.0,14823.0,82.0,2350.0,1104.0,241.0,22772.0,7.0,426.0,0.0,84.0,19.0,6
56.0,67.0,2.0,489.0,154.0,19.0,6.0,2.0,3.0,44.0,12.0,4.0,97.0,15.0,51.0,143.0,621.0,744.0,8.0,987.0,475.0,0.0,9.0,7.0,14638.0,97.0,2130.0,730.0,171.0,22210.0,12.0,592.0,2.0,59.0,23.0,10
46.0,48.0,5.0,426.0,147.0,12.0,5.0,2.0,2.0,38.0,8.0,1.0,80.0,13.0,49.0,146.0,693.0,634.0,0.0,1203.0,646.0,1.0,2.0,2.0,17877.0,56.0,2291.0,634.0,151.0,25645.0,3.0,363.0,0.0,91.0,31.0,9
86.0,49.0,4.0,695.0,221.0,12.0,14.0,6.0,3.0,77.0,9.0,6.0,85.0,19.0,28.0,100.0,602.0,828.0,13.0,983.0,584.0,0.0,2.0,2.0,19318.0,243.0,2205.0,1156.0,297.0,28968.0,2.0,622.0,0.0,65.0,18.0,19
62.0,64.0,5.0,512.0,180.0,11.0,12.0,3.0,2.0,55.0,7.0,2.0,87.0,11.0,37.0,96.0,679.0,739.0,4.0,1118.0,638.0,1.0,4.0,3.0,21311.0,89.0,2969.0,908.0,214.0,29044.0,5.0,393.0,1.0,33.0,7.0,16
48.0,54.0,0.0,541.0,195.0,24.0,7.0,3.0,2.0,42.0,6.0,3.0,85.0,11.0,51.0,141.0,644.0,669.0,3.0,1005.0,479.0,2.0,3.0,3.0,17669.0,64.0,2004.0,649.0,187.0,24891.0,4.0,469.0,0.0,69.0,26.0,11
52.0,67.0,5.0,570.0,173.0,9.0,10.0,4.0,1.0,44.0,8.0,3.0,57.0,5.0,56.0,150.0,627.0,939.0,17.0,1466.0,854.0,0.0,6.0,3.0,12704.0,104.0,2360.0,850.0,197.0,21351.0,10.0,418.0,2.0,46.0,22.0,8
66.0,62.0,3.0,660.0,231.0,16.0,6.0,4.0,2.0,57.0,9.0,6.0,75.0,18.0,34.0,111.0,492.0,683.0,3.0,1068.0,551.0,2.0,2.0,1.0,20061.0,161.0,1613.0,860.0,269.0,27525.0,6.0,515.0,1.0,28.0,23.0,16
65.0,58.0,5.0,558.0,185.0,19.0,15.0,4.0,4.0,55.0,10.0,2.0,82.0,11.0,51.0,162.0,668.0,711.0,1.0,1003.0,568.0,2.0,8.0,6.0,15031.0,32.0,2568.0,805.0,224.0,23104.0,8.0,389.0,2.0,50.0,19.0,14
